year,region,num_class
2013,Seoul,"19,149"
2013,Jongno-gu,304
2013,Jung-gu,268
2013,Yongsan-gu ,389
2013,Seongdong-gu,588
2013,Gwangjin-gu,674
2013,Dongdaemun-gu,662
2013,Jungnang-gu,740
2013,Seongbuk-gu,972
2013,Gangbuk-gu,521
2013,Dobong-gu,775
2013,Nowon-gu,"1,348"
2013,Eunpyeong-gu,"1,036"
2013,Seodaemun-gu,600
2013,Mapo-gu,719
2013,Yangcheon-gu,"1,055"
2013,Gangseo-gu,"1,143"
2013,Guro-gu,817
2013,Geumcheon-gu,456
2013,Yeongdeungpo-gu,695
2013,Dongjak-gu,724
2013,Gwanak-gu,774
2013,Seocho-gu,790
2013,Gangnam-gu,879
2013,Songpa-gu,"1,292"
2013,Gang Dong-gu,928
2014,Seoul,"18,854"
2014,Jongno-gu,294
2014,Jung-gu,254
2014,Yongsan-gu ,375
2014,Seongdong-gu,581
2014,Gwangjin-gu,664
2014,Dongdaemun-gu,637
2014,Jungnang-gu,728
2014,Seongbuk-gu,965
2014,Gangbuk-gu,506
2014,Dobong-gu,756
2014,Nowon-gu,"1,322"
2014,Eunpyeong-gu,"1,022"
2014,Seodaemun-gu,572
2014,Mapo-gu,716
2014,Yangcheon-gu,"1,024"
2014,Gangseo-gu,"1,126"
2014,Guro-gu,811
2014,Geumcheon-gu,439
2014,Yeongdeungpo-gu,686
2014,Dongjak-gu,705
2014,Gwanak-gu,762
2014,Seocho-gu,816
2014,Gangnam-gu,885
2014,Songpa-gu,"1,303"
2014,Gang Dong-gu,905
2015,Seoul,"18,780"
2015,Jongno-gu,288
2015,Jung-gu,247
2015,Yongsan-gu ,369
2015,Seongdong-gu,569
2015,Gwangjin-gu,663
2015,Dongdaemun-gu,629
2015,Jungnang-gu,718
2015,Seongbuk-gu,949
2015,Gangbuk-gu,491
2015,Dobong-gu,749
2015,Nowon-gu,"1,301"
2015,Eunpyeong-gu,984
2015,Seodaemun-gu,563
2015,Mapo-gu,720
2015,Yangcheon-gu,"1,024"
2015,Gangseo-gu,"1,177"
2015,Guro-gu,814
2015,Geumcheon-gu,430
2015,Yeongdeungpo-gu,676
2015,Dongjak-gu,698
2015,Gwanak-gu,744
2015,Seocho-gu,839
2015,Gangnam-gu,948
2015,Songpa-gu,"1,293"
2015,Gang Dong-gu,897
2016,Seoul,"18,621"
2016,Jongno-gu,268
2016,Jung-gu,244
2016,Yongsan-gu ,366
2016,Seongdong-gu,577
2016,Gwangjin-gu,655
2016,Dongdaemun-gu,615
2016,Jungnang-gu,699
2016,Seongbuk-gu,926
2016,Gangbuk-gu,484
2016,Dobong-gu,736
2016,Nowon-gu,"1,277"
2016,Eunpyeong-gu,966
2016,Seodaemun-gu,602
2016,Mapo-gu,711
2016,Yangcheon-gu,"1,020"
2016,Gangseo-gu,"1,168"
2016,Guro-gu,818
2016,Geumcheon-gu,422
2016,Yeongdeungpo-gu,670
2016,Dongjak-gu,685
2016,Gwanak-gu,735
2016,Seocho-gu,853
2016,Gangnam-gu,956
2016,Songpa-gu,"1,302"
2016,Gang Dong-gu,866
2017,Seoul,"18,625"
2017,Jongno-gu,276
2017,Jung-gu,247
2017,Yongsan-gu ,359
2017,Seongdong-gu,581
2017,Gwangjin-gu,652
2017,Dongdaemun-gu,609
2017,Jungnang-gu,700
2017,Seongbuk-gu,907
2017,Gangbuk-gu,472
2017,Dobong-gu,726
2017,Nowon-gu,"1,245"
2017,Eunpyeong-gu,956
2017,Seodaemun-gu,589
2017,Mapo-gu,700
2017,Yangcheon-gu,"1,029"
2017,Gangseo-gu,"1,180"
2017,Guro-gu,821
2017,Geumcheon-gu,446
2017,Yeongdeungpo-gu,675
2017,Dongjak-gu,682
2017,Gwanak-gu,724
2017,Seocho-gu,866
2017,Gangnam-gu,970
2017,Songpa-gu,"1,313"
2017,Gang Dong-gu,900
2018,Seoul,"18,585"
2018,Jongno-gu,277
2018,Jung-gu,246
2018,Yongsan-gu ,357
2018,Seongdong-gu,585
2018,Gwangjin-gu,656
2018,Dongdaemun-gu,621
2018,Jungnang-gu,701
2018,Seongbuk-gu,908
2018,Gangbuk-gu,468
2018,Dobong-gu,721
2018,Nowon-gu,"1,239"
2018,Eunpyeong-gu,933
2018,Seodaemun-gu,579
2018,Mapo-gu,685
2018,Yangcheon-gu,"1,029"
2018,Gangseo-gu,"1,184"
2018,Guro-gu,827
2018,Geumcheon-gu,445
2018,Yeongdeungpo-gu,664
2018,Dongjak-gu,687
2018,Gwanak-gu,715
2018,Seocho-gu,881
2018,Gangnam-gu,985
2018,Songpa-gu,"1,337"
2018,Gang Dong-gu,855
2019,Seoul,"18,690"
2019,Jongno-gu,274
2019,Jung-gu,246
2019,Yongsan-gu ,358
2019,Seongdong-gu,576
2019,Gwangjin-gu,649
2019,Dongdaemun-gu,619
2019,Jungnang-gu,704
2019,Seongbuk-gu,902
2019,Gangbuk-gu,461
2019,Dobong-gu,707
2019,Nowon-gu,"1,213"
2019,Eunpyeong-gu,944
2019,Seodaemun-gu,579
2019,Mapo-gu,671
2019,Yangcheon-gu,"1,019"
2019,Gangseo-gu,"1,200"
2019,Guro-gu,858
2019,Geumcheon-gu,454
2019,Yeongdeungpo-gu,666
2019,Dongjak-gu,691
2019,Gwanak-gu,711
2019,Seocho-gu,890
2019,Gangnam-gu,985
2019,Songpa-gu,"1,433"
2019,Gang Dong-gu,880
2020,Seoul,"18,561"
2020,Jongno-gu,269
2020,Jung-gu,243
2020,Yongsan-gu ,351
2020,Seongdong-gu,566
2020,Gwangjin-gu,639
2020,Dongdaemun-gu,603
2020,Jungnang-gu,696
2020,Seongbuk-gu,888
2020,Gangbuk-gu,452
2020,Dobong-gu,689
2020,Nowon-gu,"1,201"
2020,Eunpyeong-gu,921
2020,Seodaemun-gu,582
2020,Mapo-gu,655
2020,Yangcheon-gu,"1,010"
2020,Gangseo-gu,"1,180"
2020,Guro-gu,867
2020,Geumcheon-gu,443
2020,Yeongdeungpo-gu,660
2020,Dongjak-gu,686
2020,Gwanak-gu,694
2020,Seocho-gu,880
2020,Gangnam-gu,990
2020,Songpa-gu,"1,406"
2020,Gang Dong-gu,990
2021,Seoul,"18,396"
2021,Jongno-gu,267
2021,Jung-gu,239
2021,Yongsan-gu ,347
2021,Seongdong-gu,550
2021,Gwangjin-gu,623
2021,Dongdaemun-gu,596
2021,Jungnang-gu,689
2021,Seongbuk-gu,883
2021,Gangbuk-gu,447
2021,Dobong-gu,675
2021,Nowon-gu,"1,177"
2021,Eunpyeong-gu,907
2021,Seodaemun-gu,587
2021,Mapo-gu,645
2021,Yangcheon-gu,"1,006"
2021,Gangseo-gu,"1,169"
2021,Guro-gu,843
2021,Geumcheon-gu,428
2021,Yeongdeungpo-gu,664
2021,Dongjak-gu,686
2021,Gwanak-gu,674
2021,Seocho-gu,879
2021,Gangnam-gu,"1,000"
2021,Songpa-gu,"1,394"
2021,Gang Dong-gu,"1,021"
